X;Y
8390000;7.48166698372188E-7
8400000;7.482417245796569E-7
8410000;7.462442903616306E-7
8420000;7.451924162182877E-7
8430000;7.435571411917863E-7
8440000;7.434338611389535E-7
8450000;7.442792275824672E-7
8460000;7.435464279836879E-7
8470000;7.433414168644958E-7
8480000;7.409190407869914E-7
8490000;7.38831336555279E-7
8500000;7.395050163339079E-7
8510000;7.381743856171852E-7
8520000;7.381979152398799E-7
8530000;7.364690377542615E-7
8540000;7.350172523956644E-7
8550000;7.344667034558938E-7
8560000;7.345217367671353E-7
8570000;7.315797478923969E-7
8580000;7.336744536345918E-7
8590000;7.288040526631789E-7
8600000;7.298409094858016E-7
8610000;7.302327134084408E-7
8620000;7.278779143859992E-7
8630000;7.289932719700687E-7
8640000;7.252141900337961E-7
8650000;7.264427583919542E-7
8660000;7.244393263050597E-7
8670000;7.267720514292364E-7
8680000;7.226850158303932E-7
8690000;7.247252291620043E-7
8700000;7.216135520238254E-7
8710000;7.208228911537162E-7
8720000;7.204541185856783E-7
8730000;7.183270023247701E-7
8740000;7.168916704713979E-7
8750000;7.193635429558753E-7
8760000;7.161536581534733E-7
8770000;7.139790332288953E-7
8780000;7.174932683540192E-7
8790000;7.14742776963817E-7
8800000;7.145507812111873E-7
8810000;7.120393874515685E-7
8820000;7.103922019524589E-7
8830000;7.135791877388442E-7
8840000;7.107153585650394E-7
8850000;7.111525315295353E-7
8860000;7.096807266293581E-7
8870000;7.070284580024122E-7
8880000;7.061430835619831E-7
8890000;7.062694340476128E-7
8900000;7.041541998376033E-7
8910000;7.025791024517503E-7
8920000;7.032217714808553E-7
8930000;7.024505146446813E-7
8940000;7.028649156026745E-7
8950000;7.018355017152089E-7
8960000;6.99657624281258E-7
8970000;7.002902409070089E-7
8980000;6.980821529722903E-7
8990000;6.984696270251334E-7
9000000;6.988430696353021E-7
9010000;6.985801705994277E-7
9020000;6.978571986948623E-7
9030000;6.976688640136786E-7
9040000;6.947836928006268E-7
9050000;6.927673128487299E-7
9060000;6.939309411535532E-7
9070000;6.936841208116107E-7
9080000;6.921244253277337E-7
9090000;6.904034828281169E-7
9100000;6.907578793402536E-7
9110000;6.916109116517077E-7
9120000;6.886469501310444E-7
