X,Y,
739000,8.50E-06,
740000,8.49E-06,
741000,8.48E-06,
742000,8.47E-06,
743000,8.46E-06,
744000,8.44E-06,
745000,8.43E-06,
746000,8.42E-06,
747000,8.41E-06,
748000,8.40E-06,
749000,8.39E-06,
750000,8.38E-06,
751000,8.37E-06,
752000,8.36E-06,
753000,8.34E-06,
754000,8.33E-06,
755000,8.32E-06,
756000,8.31E-06,
757000,8.30E-06,
758000,8.29E-06,
759000,8.28E-06,
760000,8.27E-06,
761000,8.26E-06,
762000,8.25E-06,
763000,8.23E-06,
764000,8.22E-06,
765000,8.21E-06,
766000,8.20E-06,
767000,8.19E-06,
768000,8.18E-06,
769000,8.17E-06,
770000,8.16E-06,
771000,8.15E-06,
772000,8.14E-06,
773000,8.13E-06,
774000,8.12E-06,
775000,8.11E-06,
776000,8.10E-06,
777000,8.09E-06,
778000,8.08E-06,
779000,8.07E-06,
780000,8.06E-06,
781000,8.05E-06,
782000,8.03E-06,
783000,8.02E-06,
784000,8.01E-06,
785000,8.00E-06,
786000,0.007994,
787000,7.98E-06,
788000,7.97E-06,
789000,7.96E-06,
790000,7.95E-06,
791000,7.94E-06,
792000,7.93E-06,
793000,7.92E-06,
794000,7.91E-06,
795000,7.90E-06,
796000,7.89E-06,
797000,7.88E-06,
798000,7.87E-06,
799000,7.86E-06,
800000,7.85E-06,
801000,7.84E-06,
802000,7.83E-06,
803000,7.82E-06,
804000,7.81E-06,
805000,7.81E-06,
806000,7.80E-06,
807000,7.79E-06,
808000,7.78E-06,
809000,7.77E-06,
810000,7.76E-06,
811000,7.75E-06,
812000,7.74E-06,
813000,7.73E-06,
814000,7.72E-06,
815000,7.71E-06,
816000,7.70E-06,
817000,7.69E-06,
818000,7.68E-06,
819000,7.67E-06,
820000,7.66E-06,
821000,7.65E-06,
822000,7.64E-06,
823000,7.63E-06,
824000,7.63E-06,
825000,7.62E-06,
826000,7.61E-06,
827000,7.60E-06,
828000,7.59E-06,
829000,7.58E-06,
830000,7.57E-06,
831000,7.56E-06,
832000,7.55E-06,
833000,7.54E-06,
834000,7.53E-06,
835000,7.52E-06,
836000,7.52E-06,
837000,7.51E-06,
838000,7.50E-06,
839000,7.49E-06,
840000,7.48E-06,
841000,7.47E-06,
842000,7.46E-06,
843000,7.45E-06,
844000,7.44E-06,
845000,7.44E-06,
846000,7.43E-06,
847000,7.42E-06,
848000,7.41E-06,
849000,7.40E-06,
850000,7.39E-06,
851000,7.38E-06,
852000,7.37E-06,
853000,7.37E-06,
854000,7.36E-06,
855000,7.35E-06,
856000,7.34E-06,
857000,7.33E-06,
858000,7.32E-06,
859000,7.31E-06,
860000,7.31E-06,
861000,7.30E-06,
862000,7.29E-06,
863000,7.28E-06,
864000,7.27E-06,
865000,7.26E-06,
866000,7.26E-06,
867000,7.25E-06,
868000,7.24E-06,
869000,7.23E-06,
870000,7.22E-06,
871000,7.21E-06,
872000,7.21E-06,
873000,7.20E-06,
874000,7.19E-06,
875000,7.18E-06,
876000,7.17E-06,
877000,7.16E-06,
878000,7.16E-06,
879000,7.15E-06,
880000,7.14E-06,
881000,7.13E-06,
882000,7.12E-06,
883000,7.12E-06,
884000,7.11E-06,
885000,7.10E-06,
886000,7.09E-06,
887000,7.08E-06,
888000,7.08E-06,
889000,7.07E-06,
890000,7.06E-06,
891000,7.05E-06,
892000,7.04E-06,
893000,7.04E-06,
894000,7.03E-06,
895000,7.02E-06,
896000,7.01E-06,
897000,7.00E-06,
898000,7.00E-06,
899000,6.99E-06,
900000,6.98E-06,
901000,6.97E-06,
902000,6.97E-06,
903000,0.006958,
904000,6.95E-06,
905000,6.94E-06,
906000,6.94E-06,
907000,6.93E-06,
908000,6.92E-06,
909000,6.91E-06,
910000,6.90E-06,
911000,6.90E-06,
912000,6.89E-06,
913000,6.88E-06,
914000,6.87E-06,
915000,6.87E-06,
916000,6.86E-06,
917000,6.85E-06,
918000,6.84E-06,
919000,6.84E-06,
920000,6.83E-06,
921000,6.82E-06,
922000,6.81E-06,
923000,6.81E-06,
924000,6.80E-06,
925000,6.79E-06,
926000,6.79E-06,
927000,6.78E-06,
928000,6.77E-06,
929000,6.76E-06,
930000,6.76E-06,
931000,6.75E-06,
932000,6.74E-06,
933000,6.73E-06,
934000,6.73E-06,
935000,6.72E-06,
936000,6.71E-06,
937000,6.71E-06,
938000,6.70E-06,
939000,6.69E-06,
940000,6.68E-06,
941000,6.68E-06,
942000,6.67E-06,
943000,6.66E-06,
944000,6.66E-06,
945000,6.65E-06,
946000,6.64E-06,
947000,6.63E-06,
948000,6.63E-06,
949000,6.62E-06,
950000,6.61E-06,
951000,6.61E-06,
952000,6.60E-06,
953000,6.59E-06,
954000,6.59E-06,
955000,6.58E-06,
956000,6.57E-06,
957000,6.57E-06,
958000,6.56E-06,
959000,6.55E-06,
960000,6.54E-06,
961000,6.54E-06,
962000,6.53E-06,
963000,6.52E-06,
964000,6.52E-06,
965000,6.51E-06,
966000,6.50E-06,
967000,6.50E-06,
968000,6.49E-06,
969000,6.48E-06,
970000,6.48E-06,
971000,6.47E-06,
972000,6.46E-06,
973000,6.46E-06,
974000,6.45E-06,
975000,6.44E-06,
976000,6.44E-06,
977000,6.43E-06,
978000,6.42E-06,
979000,6.42E-06,
980000,6.41E-06,
981000,6.40E-06,
982000,6.40E-06,
983000,6.39E-06,
984000,6.39E-06,
985000,6.38E-06,
986000,6.37E-06,
987000,6.37E-06,
988000,6.36E-06,
989000,6.35E-06,
990000,6.35E-06,
991000,6.34E-06,
992000,6.33E-06,
993000,6.33E-06,
994000,6.32E-06,
995000,6.31E-06,
996000,6.31E-06,
997000,6.30E-06,
998000,6.30E-06,
999000,6.29E-06,
1000000,6.28E-06,
